accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.372, -0.226, -0.931, 11.536, 54.688, -8.057
0.138, -0.130, -1.024, 13.000, 46.936, -4.761
-0.047, -0.142, -1.033, -1.709, 31.921, 3.540
-0.267, -0.063, -1.028, -0.305, 46.387, 11.780
-0.293, -0.143, -0.979, -6.226, 27.954, 7.996
-0.431, -0.224, -0.919, -3.418, 22.827, 7.751
-0.478, -0.227, -0.932, -4.089, 13.672, 4.822
-0.525, -0.266, -0.926, -6.348, 7.629, 2.686
-0.519, -0.219, -0.936, 3.052, -12.817, 1.648
-0.417, -0.194, -1.017, 12.878, -32.654, -1.160
-0.287, -0.144, -1.021, 7.568, -37.415, 10.071
-0.082, -0.108, -1.021, 12.146, -60.120, 0.977
0.178, -0.076, -0.967, 7.446, -48.645, 7.324
0.379, -0.094, -0.937, 4.944, -55.176, 7.446
0.564, -0.054, -0.820, 7.324, -46.448, 7.263
0.731, 0.026, -0.676, 3.357, -48.035, 6.104
0.797, 0.058, -0.513, 10.437, -46.143, -0.061
0.865, 0.054, -0.349, 22.217, -38.635, -3.845
0.926, 0.060, -0.229, 2.747, -33.203, -9.949
0.948, 0.052, -0.107, 3.967, -16.296, -5.371
0.952, 0.043, -0.129, 12.878, 6.897, 0.671
1.009, 0.050, -0.162, -12.390, 5.981, 7.385
0.950, 0.116, -0.210, -50.903, 5.798, 11.536
0.962, 0.172, -0.191, -79.834, -18.372, 2.869
0.982, 0.033, -0.143, -66.650, -6.531, 1.221
0.975, -0.106, -0.137, -62.439, 19.165, -9.338
0.963, -0.193, -0.150, -44.678, 4.822, -13.000
0.933, -0.234, -0.104, -33.386, -7.080, -1.282
0.943, -0.298, -0.114, -0.183, 13.672, 12.756
0.934, -0.165, -0.096, -22.949, 2.014, 19.653
1.021, -0.089, -0.050, -5.005, -10.742, 16.785
0.943, -0.078, -0.085, -21.912, -5.432, 10.254
0.998, 0.126, -0.078, -25.208, 8.545, 13.733
0.983, 0.106, -0.090, -18.433, 7.568, 4.089
